Station,Station_Name,Quarter,year,quarter,species,X,Y,DO,Temperature,pH,Salinity,NH3,PO4,H2S,BOD5,COD,TSS,Coliform,Alkalinity,Transparency,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,HSI,HSI_Level,r_hsi,R_km
NB62,Lạch Đẳng Chén phía Tây đảo Đống Chén,2026-10-01,2026,4,cobia,2316094,465215,5.864052772521973,25.29056930541992,8.183218955993652,31.77519416809082,0.060723029077053,0.0473935082554817,,29.139562606811523,73.87065887451172,4.012157440185547,1912.424560546875,110.89542388916016,3.2137959003448486,0.001308208447881,0.002104885643348,0.0001038050686474,0.000227548109251,0.0011505912989377,0.0001685166789684,0.0100524397566914,0.0004363293992355,0.8206733783990352,Phù hợp,1.5278610048037746,
NB63,Lạch Đầu Gỗ phía Đông đảo Đống Chén,2026-01-01,2026,1,cobia,2316643,468221,6.523451328277588,22.96968650817871,8.049660682678223,32.47022247314453,0.0360940769314765,0.0275459662079811,,36.24751663208008,146.5914764404297,4.345253944396973,0.0,138.8923797607422,2.4415152072906494,0.001347028533928,0.0013948264531791,0.0001038050686474,0.0009364103316329,0.0010635238140821,0.0001685166789684,0.0268126521259546,0.0005240410682745,0.8217971334358867,Phù hợp,1.5278610048037746,
NB63,Lạch Đầu Gỗ phía Đông đảo Đống Chén,2026-04-01,2026,2,cobia,2316643,468221,5.785858631134033,26.152273178100582,8.080889701843262,31.81243896484375,0.0508509837090969,0.0378746651113033,,32.67872619628906,94.65225219726562,3.123930215835572,1410.801025390625,116.57981872558594,7.85203218460083,0.0013036195887252,0.0016840640455484,0.0001038050686474,0.001730155898258,0.0024277851916849,0.0001685166789684,0.0137903178110718,0.000238759239437,0.8333286253833261,Phù hợp,1.5278610048037746,
NB63,Lạch Đầu Gỗ phía Đông đảo Đống Chén,2026-07-01,2026,3,cobia,2316643,468221,5.7499213218688965,27.896852493286133,8.053034782409668,32.32954406738281,0.062518261373043,0.0577962920069694,,31.07047843933105,95.65029907226562,2.635171413421631,1089.6636962890625,118.9888916015625,7.012246608734131,0.001308208447881,0.0016716549871489,0.0001038050686474,0.0,0.0008666047360748,0.0001685166789684,0.0097861355170607,0.0003804086882155,0.8275701086028745,Phù hợp,0.5,
NB63,Lạch Đầu Gỗ phía Đông đảo Đống Chén,2026-10-01,2026,4,cobia,2316643,468221,6.408235549926758,25.59942626953125,8.147909164428711,31.681859970092773,0.0538606718182563,0.056936290115118,,28.150245666503903,97.97482299804688,1.4287033081054688,0.0,108.50756072998048,0.9671484231948853,0.001308208447881,0.0020954431965947,0.0001038050686474,0.0032250189688056,0.0001747509813867,0.0001685166789684,0.0165702030062675,0.0003333034692332,0.8285672637130711,Phù hợp,0.5,
NB64,Lạch Cống Nứa phía Đông đảo Cống Nứa,2026-01-01,2026,1,cobia,2317955,471418,6.536471366882324,22.00460624694824,8.0877103805542,33.33256530761719,0.04264947026968,0.0238322932273149,,36.262508392333984,135.21441650390625,4.572873592376709,90.06890106201172,112.8081512451172,5.036064624786377,0.0013612867332994,0.0013101497897878,0.0001038050686474,0.0003315164649393,0.0011322125792503,0.0001685166789684,0.0102616259828209,0.0004954083124175,0.8285305139681609,Phù hợp,1.727871016598172,
NB64,Lạch Cống Nứa phía Đông đảo Cống Nứa,2026-04-01,2026,2,cobia,2317955,471418,6.432925701141357,25.713247299194336,8.161771774291992,32.057525634765625,0.0631578117609024,0.056963738054037,,31.21661949157715,69.98484802246094,4.226649761199951,267.7438659667969,125.82923889160156,6.301506042480469,0.0013036195887252,0.0018608026439324,0.0001038050686474,0.0,0.003021644661203,0.0001685166789684,0.0070537445135414,0.0003811677161138,0.8420658636118427,Phù hợp,1.727871016598172,
NB64,Lạch Cống Nứa phía Đông đảo Cống Nứa,2026-07-01,2026,3,cobia,2317955,471418,6.088362693786621,27.785757064819336,8.03726863861084,33.23588943481445,0.0672074407339096,0.0792557820677757,,35.63557815551758,111.26082611083984,3.8359549045562735,0.0,139.81991577148438,3.7300846576690674,0.001308208447881,0.002381810452789,0.0001038050686474,0.0001879281917354,6.392128125298768e-05,0.0001685166789684,0.0192909501492977,0.0002996851108036,0.810636301355499,Phù hợp,0.5,
NB64,Lạch Cống Nứa phía Đông đảo Cống Nứa,2026-10-01,2026,4,cobia,2317955,471418,6.922617435455322,24.85944938659668,8.098260879516602,32.26987075805664,0.0614527948200702,0.0447374694049358,,32.4896125793457,84.12999725341797,3.749578475952149,0.0,116.04279327392578,12.979214668273926,0.001308208447881,0.0016665636794641,0.0001038050686474,0.0004283073940314,0.0009780609980225,0.0001685166789684,0.021581333130598,0.0004107059212401,0.8589340414616004,Rất phù hợp,0.5,
NB65,Vụng Đá Bạc phía Đông đảo Trà Bản,2026-01-01,2026,1,cobia,2314090,474853,7.078782081604004,22.632930755615234,8.113423347473145,33.01907730102539,0.0455279275774955,0.0301020499318838,,35.02579498291016,128.1265106201172,0.0,0.0,109.80587005615234,0.52716064453125,0.0013424396747723,0.0015103222103789,0.0001038050686474,0.0,0.0011908357264474,0.0001685166789684,0.0256349928677082,0.0010138775687664,0.8231377705549784,Phù hợp,0.5,
